week,home_team,away_team,my_spread
10,Indianapolis Colts,Atlanta Falcons,-5
10,New York Jets,Cleveland Browns,-1.5
10,Denver Broncos,Seattle Seahawks,-6
10,Carolina Panthers,New Orleans Saints,-3.5
10,Minnesota Vikings,Baltimore Ravens,-2
10,Miami Dolphins,Buffalo Bills,-9
10,Chicago Bears,New York Giants,-4
10,Houston Texans,Jacksonville Jaguars,-5.5
10,Seattle Seahawks,Arizona Cardinals,-4.5
10,Detroit Lions,Washington Commanders,-11
10,San Francisco 49ers,Los Angeles Rams,-1
10,Tampa Bay Buccaneers,New England Patriots,-3.5
10,Green Bay Packers,Philadelphia Eagles,-3
10,Los Angeles Chargers,Pittsburgh Steelers,-3
11,New England Patriots,New York Jets,-6.5
11,Atlanta Falcons,Miami Dolphins,-2.5
11,Green Bay Packers,Chicago Bears,-5.5
11,Tennessee Titans,Houston Texans,-1.5
11,Minnesota Vikings,Chicago Bears,-3
11,Jacksonville Jaguars,New York Jets,-1
11,Buffalo Bills,Kansas City Chiefs,-4
11,Pittsburgh Steelers,Cleveland Browns,-3
11,San Francisco 49ers,Arizona Cardinals,-3
11,Los Angeles Rams,Seattle Seahawks,-3.5
11,Denver Broncos,Kansas City Chiefs,-1
11,Cleveland Browns,Baltimore Ravens,-8.5
11,Philadelphia Eagles,Detroit Lions,-2
11,Las Vegas Raiders,Dallas Cowboys,-2
